,battery_name,experiment_exp_id,finishtime,id,options,question_num,required,response,response_text,text,value,worker_id
demographics_survey_0_0,Self Regulation Battery,demographics_survey,2016-07-27T16:57:56.292062Z,demographics_survey_2_options,"[{'value': '0', 'text': 'Male', 'id': 'demographics_survey_2_0'}, {'value': '1', 'text': 'Female', 'id': 'demographics_survey_2_1'}]",2,1,0,Male,What is your sex?,,s045
demographics_survey_0_1,Self Regulation Battery,demographics_survey,2016-07-27T16:57:56.292062Z,demographics_survey_3,,3,1,29,,How old are you (in years)?,,s045
demographics_survey_0_2,Self Regulation Battery,demographics_survey,2016-07-27T16:57:56.292062Z,demographics_survey_4_0_options,"[{'text': 'White', 'id': 'demographics_survey_4_0'}, {'text': ' American Indian or Alaska Native', 'id': 'demographics_survey_4_1'}, {'text': 'Chinese', 'id': 'demographics_survey_4_2'}, {'text': 'Japanese', 'id': 'demographics_survey_4_3'}, {'text': ' Filipino', 'id': 'demographics_survey_4_4'}, {'text': 'Korean', 'id': 'demographics_survey_4_5'}, {'text': ' Asian Indian', 'id': 'demographics_survey_4_6'}, {'text': ' Vietnamese', 'id': 'demographics_survey_4_7'}, {'text': ' Other Asian', 'id': 'demographics_survey_4_8'}, {'text': ' Black or African American', 'id': 'demographics_survey_4_9'}, {'text': ' Middle Eastern or North African', 'id': 'demographics_survey_4_10'}, {'text': ' Native Hawaiian or Other Pacific Islander', 'id': 'demographics_survey_4_11'}, {'text': 'Other', 'id': 'demographics_survey_4_12'}, {'text': 'Choose not to respond', 'id': 'demographics_survey_4_13'}]",4,1,White,[],What is your race?,White,s045
demographics_survey_0_3,Self Regulation Battery,demographics_survey,2016-07-27T16:57:56.292062Z,demographics_survey_5,,5,0,,,If you chose 'Other' for racial  background how would you describe it?,,s045
demographics_survey_0_4,Self Regulation Battery,demographics_survey,2016-07-27T16:57:56.292062Z,demographics_survey_6_options,"[{'value': '1', 'text': 'Yes', 'id': 'demographics_survey_6_0'}, {'value': '0', 'text': ' No', 'id': 'demographics_survey_6_1'}]",6,1,0, No,"Are you of Hispanic, Latino or Spanish origin?",,s045
demographics_survey_0_5,Self Regulation Battery,demographics_survey,2016-07-27T16:57:56.292062Z,demographics_survey_7_options,"[{'value': '1', 'text': 'Did Not Complete High School', 'id': 'demographics_survey_7_0'}, {'value': '2', 'text': ' High School/GED', 'id': 'demographics_survey_7_1'}, {'value': '3', 'text': ' Some College', 'id': 'demographics_survey_7_2'}, {'value': '4', 'text': "" Bachelor's Degree"", 'id': 'demographics_survey_7_3'}, {'value': '5', 'text': "" Master's Degree"", 'id': 'demographics_survey_7_4'}, {'value': '6', 'text': ' Advanced Graduate work or Ph.D', 'id': 'demographics_survey_7_5'}]",7,1,4, Bachelor's Degree,What is the highest level of education you have completed?,,s045
demographics_survey_0_6,Self Regulation Battery,demographics_survey,2016-07-27T16:57:56.292062Z,demographics_survey_8,,8,1,72,,How tall are you (in inches: one foot = 12 inches)?,,s045
demographics_survey_0_7,Self Regulation Battery,demographics_survey,2016-07-27T16:57:56.292062Z,demographics_survey_9,,9,1,200,,How much do you weigh (in pounds)?,,s045
demographics_survey_0_8,Self Regulation Battery,demographics_survey,2016-07-27T16:57:56.292062Z,demographics_survey_10_options,"[{'value': '1', 'text': 'Single', 'id': 'demographics_survey_10_0'}, {'value': '2', 'text': 'Married', 'id': 'demographics_survey_10_1'}, {'value': '3', 'text': 'In Committed Relationship', 'id': 'demographics_survey_10_2'}]",10,1,1,Single,What is your relationship status?,,s045
demographics_survey_0_9,Self Regulation Battery,demographics_survey,2016-07-27T16:57:56.292062Z,demographics_survey_11_options,"[{'value': '0', 'text': '0', 'id': 'demographics_survey_11_0'}, {'value': '1', 'text': '1', 'id': 'demographics_survey_11_1'}, {'value': '2', 'text': '2', 'id': 'demographics_survey_11_2'}, {'value': '3', 'text': '3', 'id': 'demographics_survey_11_3'}, {'value': '4', 'text': '4', 'id': 'demographics_survey_11_4'}, {'value': '5', 'text': '5', 'id': 'demographics_survey_11_5'}, {'value': '6', 'text': 'More', 'id': 'demographics_survey_11_6'}]",11,1,0,0,How many times have you been divorced?,,s045
demographics_survey_0_10,Self Regulation Battery,demographics_survey,2016-07-27T16:57:56.292062Z,demographics_survey_12,,12,1,24,,How long was/is your longest romantic relationship (in months: one year = 12 months)?,,s045
demographics_survey_0_11,Self Regulation Battery,demographics_survey,2016-07-27T16:57:56.292062Z,demographics_survey_13_options,"[{'value': '1', 'text': '0', 'id': 'demographics_survey_13_0'}, {'value': '2', 'text': '1', 'id': 'demographics_survey_13_1'}, {'value': '3', 'text': '2', 'id': 'demographics_survey_13_2'}, {'value': '4', 'text': '3', 'id': 'demographics_survey_13_3'}, {'value': '5', 'text': '4', 'id': 'demographics_survey_13_4'}, {'value': '6', 'text': '5-10', 'id': 'demographics_survey_13_5'}, {'value': '7', 'text': '>10', 'id': 'demographics_survey_13_6'}]",13,1,3,2,How many romantic relationships have you had?,,s045
